Year,user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
2018,170003908,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Michael Rabello,170003908,Jedi_619,1,"Escondido, CA","Escondido, CA",User location, California
2018,2963374449,@dezmon71 @theduderific @WBrettWilson  it's to illustrate how ridiculous it is to believe that burning fossil fuels isn't of major impact.,Joe Mufferaw,2963374449,OttawaTalks,1,Ottawa,Ottawa,User location,
2018,940534752,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",#Bernie2020,940534752,kimberlymontse1,1,#EyesWideOpen #KnowYourChemistry,#EyesWideOpen #KnowYourChemistry,User location,
2018,45876333,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Jessica Lenehan,45876333,jeslenehan,1,"San Antonio, Texas","San Antonio, Texas",User location, Texas
2018,919465550,RT @angryshot: @Rikaishi @lukeweston @EnergyJvd @chrispydog @OskaArcher @PeterCawdron @ScottMorrisonMP @DoctorKarl They are all hydro/geoth…,Alex,919465550,alexkeroso,1,La tierra media,La tierra media,User location,
2018,750444726,RT @dunleamark: It is hard to understand why @NYSComptroller @TomDiNapoli stubbornly insists on costing NY Taxpayers billions of dollars by…,Informed Voting,750444726,informedvoting,1,New York City,New York City,User location, New York
2018,579652120,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Chris Secker,579652120,chrissecker,1,"Staffordshire, UK","Staffordshire, UK",User location,
2018,242349332,"RT @MikeHudema: Every year, governments worldwide spend $425B subsidizing fossil fuels, 5x more than they spend on #renewableenergy: https:…",Trevor Haché,242349332,trevorhache,1,"Algonquin territory, Ottawa","Algonquin territory, Ottawa",User location,
2018,8.16E+17,@grahamjb14 @TorontoStar @BillTufts Actually it is impossible to survive without fossil fuels. Dream all you want b… https://t.co/4VsJc1cUs7,Mr DC ❌Canada 🇨🇦 🇺🇸 🇬🇧 🇦🇺,8.16E+17,Cross66D,1,Canada,Canada,User location,
2018,286165784,"@ak48er @jkenney @CFIB Eco, can you name me ANYTHING made from Wind and Solar and that does not require any oil/fos… https://t.co/7MtmPLt7DX",trevor marr,286165784,trevormarr1,1,Alberta Oilsands,Alberta Oilsands,User location,
